,Unnamed: 0,user_id,username,date,Tweet
64,64,1045544813007843328,dinar,Tue Mar 05 02:45:45 +0000 2019,"['bayujoo', 'tolol', 'sia😂']"
65,65,701396563956895744,BB:,Tue Mar 05 02:44:24 +0000 2019,"['rt', 'ronnierusli', 'terlalu', 'bnyk', 'org', '“tolol', 'yg', 'berfikir', 'bangun', 'kilang', 'menguntungkan', 'kilang', 'minyak', 'proyek', 'rugi', 'tdk', 'ada', 'untungnya', 'kecuali', 'y…']"
66,66,406047582,Yusuf Fauzi,Tue Mar 05 02:44:23 +0000 2019,"['lah', 'tolol', 'httpstcoa0gzxon5et']"
67,67,1094952444033822726,hantu,Tue Mar 05 02:43:53 +0000 2019,"['dwikacangin', 'dih', 'tolol']"
68,68,1096229016422367232,Ric Liem,Tue Mar 05 02:43:11 +0000 2019,"['detikcom', 'tolol', 'kg', 'punya', 'otak', 'jgn2', 'loe', 'juga', 'lagi', 'sakaw', 'ya', 'menyalahkan', 'org', 'lain']"
69,69,921067435,en,Tue Mar 05 02:43:01 +0000 2019,"['rlthingy', 'lah', 'kok', 'tolol']"
70,70,1072667199351939072,Mas Puji,Tue Mar 05 02:42:53 +0000 2019,"['akuntofa', 'yg', 'cerdas', 'lah', 'jng', 'tolol', 'keterusan']"
71,71,974299627821309952,JOMBLO hambalang @telojava,Tue Mar 05 02:42:44 +0000 2019,"['ainun95145059', 'nataliuspigai2', 'iya', 'raimu', 'itu', 'siapa', 'mau', 'tumbangkan', 'rezimemang', 'lu', 'sdh', 'ngaca', 'lbh', 'baik', 'dari', 'pak', 'jkw', 'lol', 'tolol']"
72,72,154826527,dickykusnadi,Tue Mar 05 02:42:18 +0000 2019,"['wahhabiccjabar', 'gerindra', 'tolol']"
73,73,1052176229636366337,alfihikami,Tue Mar 05 02:42:18 +0000 2019,"['tubirfess', 'realistis', 'tapi', 'tolong', 'keinginan', 'kaya', 'gitu', 'disimpen', 'dalem', 'hati', 'aja', 'tolol', 'ga', 'kasian', 'apa', 'ama', 'perasaan', 'cowonya']"
74,74,334998977,Cup :(,Tue Mar 05 02:42:08 +0000 2019,"['rt', 'halleluhellyeah', 'ngarep', 'pengen', 'punya', 'pacar', 'yang', 'religius', 'itu', 'tolol', 'sebab', 'kalo', 'beneran', 'religius', 'mana', 'mau', 'di', 'ajak', 'pacaran', 'karena', 'agama', 'm…']"
75,75,315139900,Muthia 🐒,Tue Mar 05 02:42:00 +0000 2019,"['duh', 'napa', 'tolol', 'amat', 'sih']"
76,76,1018013667386785792,bihun item,Tue Mar 05 02:40:15 +0000 2019,"['rlthingy', 'emg', 'lu', 'kira', 'meluk2', 'cowo', 'ga', 'dosa', 'juga', 'emg', 'lu', 'kira', 'cm', 'org', 'pacaran', 'doang', 'yg', 'bisa', 'zinah', 'pnya', 'agama', 'tu', 'biae', 'pinter', 'bukan', 'tambah', 'tolol', 'ughte', 'mawar']"
